Date,EUR,GBP,JPY
07jul2002,1.0274,.6575,120.21
08jul2002,1.0261,.657,120.04
09jul2002,1.0096,.6474,118.4
10jul2002,1.0065,.6457000000000001,118.06
11jul2002,1.0119,.6463,117.69
12jul2002,1.0114,.6433,116.98
13jul2002,1.0095,.6439,116.87
14jul2002,1.0088,.6439,116.91
15jul2002,1.0085,.6438,116.89
16jul2002,.9966,.6374,116.43
17jul2002,.9884,.6346000000000001,115.95
18jul2002,.9931,.6366000000000001,116.35
19jul2002,.9889,.6357,116.59
20jul2002,.9883,.6341,115.89
21jul2002,.9878,.6332,115.86
22jul2002,.988,.6342,115.85
23jul2002,.9915000000000001,.6332,116.23
24jul2002,1.0114,.6399,117.57
25jul2002,1.005,.6361,116.75
26jul2002,.9957,.6313,116.41
27jul2002,1.0133,.6392,118.83
28jul2002,1.0148,.6392,118.88
29jul2002,1.0139,.6392,118.81
30jul2002,1.0198,.6398,119.73
31jul2002,1.017,.6354,120.23
01aug2002,1.0234,.6394,119.93
02aug2002,1.0158,.6407000000000001,119.32
03aug2002,1.0137,.637,118.95
04aug2002,1.0131,.6375,118.95
05aug2002,1.0136,.6369,118.88
06aug2002,1.0204,.6407000000000001,119.7
07aug2002,1.0353,.6505,120.82
08aug2002,1.0262,.6496,120.27
09aug2002,1.0341,.6531,121.02
10aug2002,1.0307,.6562,120.13
11aug2002,1.0309,.6559,120.19
12aug2002,1.0313,.6562,120.15
13aug2002,1.0221,.6531,119.08
14aug2002,1.0166,.6506,118.49
15aug2002,1.0211,.6508000000000001,117.36
16aug2002,1.0185,.6512,117.4
17aug2002,1.0152,.6499,117.73
18aug2002,1.0171,.6506,117.74
19aug2002,1.0165,.6498,117.73
20aug2002,1.0244,.655,118.65
21aug2002,1.0215,.6544,118.88
22aug2002,1.0199,.6529,118.56
23aug2002,1.0321,.6573,119.99
24aug2002,1.028,.6579,119.62
25aug2002,1.028,.6577,119.72
26aug2002,1.0283,.6577,119.6
27aug2002,1.0291,.6572,119.74
28aug2002,1.0171,.6518000000000001,118.21
29aug2002,1.0213,.6518000000000001,118.74
30aug2002,1.0156,.6458,118.16
31aug2002,1.0185,.645,118.35
01sep2002,1.0201,.6465,118.73
02sep2002,1.0181,.645,118.45
03sep2002,1.0169,.6461,118.18
04sep2002,1.0033,.6392,117.15
05sep2002,1.0074,.6391,118.04
06sep2002,1.0086,.6391,118.39
07sep2002,1.0186,.6411,118.57
08sep2002,1.0188,.6419,118.59
09sep2002,1.0189,.6419,118.59
10sep2002,1.021,.6425,118.91
11sep2002,1.0252,.6429,119.93
12sep2002,1.0247,.6437000000000001,120.34
13sep2002,1.0187,.6405,120.03
14sep2002,1.0293,.6447000000000001,121.76
15sep2002,1.0346,.6445,121.78
16sep2002,1.0302,.6448,121.87
17sep2002,1.0319,.6492,122.28
18sep2002,1.0261,.6487000000000001,121.98
19sep2002,1.023,.6452,121.45
20sep2002,1.0137,.6432,121.51
21sep2002,1.0182,.6434,123.3
22sep2002,1.0182,.6433,123.36
23sep2002,1.0195,.6438,123.41
24sep2002,1.0226,.6448,123.97
25sep2002,1.0192,.6417000000000001,123.37
26sep2002,1.0245,.6423,122.91
27sep2002,1.0244,.6421,122.27
28sep2002,1.02,.6408,122.56
29sep2002,1.027,.6408,122.55
30sep2002,1.0193,.6406,122.6
01oct2002,1.0129,.6377,121.7
02oct2002,1.0176,.6389,122.56
03oct2002,1.0135,.6372,122.89
04oct2002,1.0125,.6369,122.7
05oct2002,1.0213,.6388,123.19
06oct2002,1.0217,.6389,123.37
07oct2002,1.0209,.6391,123.21
08oct2002,1.0171,.6383,124.29
09oct2002,1.0219,.6439,124.39
10oct2002,1.0106,.6393,123.28
11oct2002,1.0141,.6395,123.62
12oct2002,1.0132,.6404,124.06
13oct2002,1.0132,.6406,124.05
14oct2002,1.0129,.6402,124.16
15oct2002,1.0133,.6423,124.31
16oct2002,1.0188,.6444,124.7
17oct2002,1.0192,.6436,124.49
18oct2002,1.0301,.6451,125.06
19oct2002,1.0286,.6469,125.55
20oct2002,1.0283,.647,125.56
21oct2002,1.0285,.6468,125.43
22oct2002,1.0272,.6486,124.96
23oct2002,1.0229,.647,125.16
24oct2002,1.0244,.6465,124.61
25oct2002,1.0232,.6435,124.49
26oct2002,1.0248,.645,124.34
27oct2002,1.0246,.6449,124.34
28oct2002,1.0242,.6462,124.2
29oct2002,1.0158,.6411,123.62
30oct2002,1.0169,.6423,123
31oct2002,1.0161,.6421,122.94
01nov2002,1.0104,.6391,122.55
02nov2002,1.0035,.6397000000000001,122.23
03nov2002,1.0037,.6393,122.21
04nov2002,1.0031,.6391,122.14
05nov2002,1.0026,.6422,122.3
06nov2002,.9999,.6397000000000001,121.85
07nov2002,.9972,.6394,121.83
08nov2002,.9909,.633,121.18
09nov2002,.9874000000000001,.6288,119.84
10nov2002,.9846,.6283,119.84
11nov2002,.9877,.6289,119.85
12nov2002,.9899,.6304,119.56
13nov2002,.9878,.6292,119.65
14nov2002,.9934,.6309,120.23
15nov2002,.9958,.6334,120.52
16nov2002,.9911,.6329,120.5
17nov2002,.9906,.633,120.48
18nov2002,.991,.6332,120.47
19nov2002,.9923,.6323,121.1
20nov2002,.9967,.6329,122.13
21nov2002,.9988,.6361,122.67
22nov2002,.9987,.6332,122.71
23nov2002,1.003,.633,122.83
24nov2002,1.0036,.6321,123.01
25nov2002,1.0034,.6331,122.92
26nov2002,1.0092,.6395,122.13
27nov2002,1.0066,.6445,121.65
28nov2002,1.0098,.6466,122.37
29nov2002,1.0057,.6441,122.23
30nov2002,1.0058,.6426,122.58
01dec2002,1.0062,.6422,122.58
02dec2002,1.0056,.6423,122.61
03dec2002,1.0035,.642,124.54
04dec2002,1.0035,.6369,124.55
05dec2002,.9999,.6371,124.58
06dec2002,.9994,.6363,124.86
07dec2002,.9904,.6347,123.59
08dec2002,.9914,.6358,123.53
09dec2002,.9892,.6334,123.36
10dec2002,.9896,.6333,123.37
11dec2002,.9921,.6367,123.83
12dec2002,.992,.6342,123.62
13dec2002,.982,.6324,122.74
14dec2002,.9777,.6294,120.57
15dec2002,.9774000000000001,.629,120.51
16dec2002,.977,.6293,120.51
17dec2002,.9779,.6282,121.36
18dec2002,.9725,.626,121.33
19dec2002,.9744,.6248,121.14
20dec2002,.9735,.6234,120.44
21dec2002,.974,.624,120.51
22dec2002,.974,.6244,120.42
23dec2002,.9733000000000001,.6242,120.3
24dec2002,.9745,.6274,120.44
25dec2002,.9712,.6272,120.36
26dec2002,.9691,.6267,120.35
27dec2002,.964,.6252,119.99
28dec2002,.9582000000000001,.6236,119.91
29dec2002,.9579,.6239,119.89
30dec2002,.9593,.6238,119.9
31dec2002,.9541,.6235000000000001,118.54
01jan2003,.9526,.6208,118.8
02jan2003,.9533,.6211,118.75
03jan2003,.9653000000000001,.6274,120.05
04jan2003,.9602000000000001,.6215000000000001,119.75
05jan2003,.9585,.622,119.65
06jan2003,.9595,.6213,119.74
07jan2003,.9554,.6219,119.21
08jan2003,.9601,.6234,120.46
09jan2003,.9532000000000001,.6203,119.14
10jan2003,.9537,.6227,119.31
11jan2003,.9466,.6218,119.17
12jan2003,.9466,.6218,119.36
13jan2003,.9454,.622,119.23
14jan2003,.9484,.6252,118.94
15jan2003,.9479,.6231,118.1
16jan2003,.9479,.6234,118.14
17jan2003,.942,.6208,117.9
18jan2003,.9374,.6198,117.71
19jan2003,.9371,.6198,117.83
